car_name,rating,mileage_km_per_liter,engine_cc,price_min_lakh,price_max_lakh,company,price_avg_lakh,price_segment,is_electric
Mercedes-Benz AMG SL,4.6,7.3,3982.0,234.0,234.0,Mercedes-Benz,234.0,Luxury & High-End,0
Ferrari 849 Testarossa,4.2,10.165,3990.0,1037.0,1037.0,Ferrari,1037.0,Luxury & High-End,0
Porsche Macan EV,4.9,0.0,0.0,122.0,173.0,Porsche,147.5,Luxury & High-End,1
Mercedes-Benz CLA Electric,4.4,0.0,0.0,56.5,64.0,Mercedes-Benz,60.25,Luxury & High-End,1
Ferrari 812,4.6,5.5,6496.0,575.0,575.0,Ferrari,575.0,Luxury & High-End,0
Maruti Suzuki Alto Tour H1,4.6,24.39,998.0,4.0,4.82,Maruti,4.41,Budget,0
Blinq RYDE,4.8,24.645,998.0,4.5,5.0,Blinq,4.75,Budget,0
Mahindra XUV 3XO EV,4.6,0.0,0.0,13.89,14.96,Mahindra,14.425,Upper Mid-Range,1
Mercedes-Benz AMG C 63,4.7,10.165,1991.0,191.0,191.0,Mercedes-Benz,191.0,Luxury & High-End,0
Strom Motors R3,3.7,24.645,998.0,4.5,4.5,Strom,4.5,Budget,0
Mercedes-Benz CLE Cabriolet,4.5,12.0,1999.0,114.99999999999999,114.99999999999999,Mercedes-Benz,114.99999999999999,Luxury & High-End,0
Honda Amaze 2nd Gen,4.3,18.6,1199.0,5.99,7.8,Honda,6.895,Lower Mid-Range,0
Mercedes-Benz AMG GLE 53,4.3,8.9,2999.0,152.0,188.0,Mercedes-Benz,170.0,Luxury & High-End,0
Maserati Quattroporte,4.5,11.76,2999.0,171.0,186.0,Maserati,178.5,Luxury & High-End,0
Mahindra Bolero Pik-Up,4.5,14.3,2523.0,9.49,10.32,Mahindra,9.905000000000001,Lower Mid-Range,0
Hyundai Prime HB,4.8,19.6,1197.0,6.0,6.0,Hyundai,6.0,Lower Mid-Range,0
Porsche Taycan,4.7,10.165,2998.0,170.0,270.0,Porsche,220.0,Luxury & High-End,0
Maruti Suzuki Wagon R tour,4.3,25.4,998.0,4.99,5.89,Maruti,5.4399999999999995,Budget,0
Audi SQ8,4.5,10.165,3996.0,178.0,178.0,Audi,178.0,Luxury & High-End,0
Audi S5 Sportback,4.5,10.6,2994.0,73.57,73.57,Audi,73.57,Luxury & High-End,0
Mercedes-Benz AMG EQS,4.6,10.165,2998.0,245.00000000000003,245.00000000000003,Mercedes-Benz,245.00000000000003,Luxury & High-End,0
Hyundai i20 N Line,4.5,20.0,998.0,9.27,11.74,Hyundai,10.504999999999999,Upper Mid-Range,0
Toyota Urban Cruiser EBELLA,4.3,12.4,1956.0,23.6,23.6,Toyota,23.6,Premium & Executive,0
Force Gurkha 5 Door,4.3,9.5,2596.0,17.63,17.63,Force,17.63,Upper Mid-Range,0
Hyundai Grand i10 Nios,4.4,18.0,1197.0,5.6,8.04,Hyundai,6.819999999999999,Lower Mid-Range,0
Rolls-Royce Ghost Series II,4.9,10.165,6750.0,894.9999999999999,1052.0,Rolls-Royce,973.5,Luxury & High-End,0
Porsche Cayenne Electric,4.5,0.0,0.0,176.0,225.99999999999997,Porsche,201.0,Luxury & High-End,1
Mini Countryman Electric,4.8,0.0,0.0,55.65,60.7,Mini,58.175,Luxury & High-End,1
Mercedes-Benz AMG GT Coupe,4.6,10.165,3982.0,300.0,355.0,Mercedes-Benz,327.5,Luxury & High-End,0
Hyundai IONIQ 5,5.0,10.165,2998.0,55.7,55.7,Hyundai,55.7,Luxury & High-End,0
Maruti Suzuki Eeco Cargo,4.5,20.2,1197.0,5.39,6.61,Maruti,6.0,Lower Mid-Range,0
